iter	Passed	Remaining
0	0	97
1	1	91
2	2	87
3	3	82
4	4	81
5	5	82
6	6	82
7	7	83
8	8	82
9	8	80
10	9	78
11	10	76
12	11	74
13	11	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	65
24	21	65
25	22	64
26	23	63
27	24	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
